firm,firm_slug,rating,reviews,account_size,steps,steps_label,profit_targets,daily_drawdown_pct,max_drawdown_pct,pt_dd_ratio,profit_split_pct,payout_timing,fee_discounted,fee_original,fee_assumed,fee_assumption,currency,asset_class,drawdown_type,loyalty_pts
Goat Funded Trader4.4719Goat Funded Trader,goat-funded-trader,,,200000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,80.0,Bi-weekly | First Payout on demand as add-on with a 40% profit split,332.5,665.0,665.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,549
Goat Funded Trader4.4719Goat Funded Trader,goat-funded-trader,,,15000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,80.0,Bi-weekly | First Payout on demand as add-on with a 40% profit split,42.5,85.0,85.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,70
Maven4.3666Maven,maven-trading,,,20000,3,3 Steps,3.0% / 3.0% / 3.0%,2.0,3.0,1:0.33,80.0,10 Business days,72.96,76.0,76.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,96
Maven4.3666Maven,maven-trading,,,10000,3,3 Steps,3.0% / 3.0% / 3.0%,2.0,3.0,1:0.33,80.0,10 Business days,36.48,38.0,38.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,48
Maven4.3666Maven,maven-trading,,,5000,3,3 Steps,3.0% / 3.0% / 3.0%,2.0,3.0,1:0.33,80.0,10 Business days,16.32,17.0,17.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,22
Maven4.3666Maven,maven-trading,,,100000,3,3 Steps,3.0% / 3.0% / 3.0%,2.0,3.0,1:0.33,80.0,10 Business days,287.04,299.0,299.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,379
Maven,maven-trading,4.3,666,50000,3,3 Steps,3.0% / 3.0% / 3.0%,2.0,3.0,1:0.33,80.0,10 Business days,190.0,190.0,190.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,241
AquaFunded,aquafunded,4.3,223,200000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,90.0,14 Days,677.0,677.0,677.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,745
AquaFunded,aquafunded,4.3,223,25000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,90.0,14 Days,157.0,157.0,157.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,173
AquaFunded,aquafunded,4.3,223,50000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,90.0,14 Days,237.0,237.0,237.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,261
AquaFunded,aquafunded,4.3,223,100000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,90.0,14 Days,377.0,377.0,377.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,415
For Traders,for-traders,4.5,222,50000,3,3 Steps,4.0% / 4.0% / 6.0%,3.0,5.0,1:0.42,80.0,14 Days,235.0,235.0,235.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,194
For Traders,for-traders,4.5,222,100000,3,3 Steps,4.0% / 4.0% / 6.0%,3.0,5.0,1:0.42,80.0,14 Days,349.0,349.0,349.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,288
For Traders,for-traders,4.5,222,15000,3,3 Steps,4.0% / 4.0% / 6.0%,3.0,5.0,1:0.42,80.0,14 days,79.0,79.0,79.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,65
For Traders,for-traders,4.5,222,25000,3,3 Steps,4.0% / 4.0% / 6.0%,3.0,5.0,1:0.42,80.0,14 Days,149.0,149.0,149.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,123
Blue Guardian,blue-guardian,4.3,213,200000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,85.0,14 Days,667.0,667.0,667.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,550
Blue Guardian,blue-guardian,4.3,213,100000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,85.0,14 Days,367.0,367.0,367.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,303
Blue Guardian,blue-guardian,4.3,213,10000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,85.0,14 Days,67.0,67.0,67.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,55
Blue Guardian,blue-guardian,4.3,213,50000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,85.0,14 Days,227.0,227.0,227.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,187
Blue Guardian4.3213Blue Guardian,blue-guardian,,,25000,3,3 Steps,6.0% / 6.0% / 6.0%,4.0,8.0,1:0.44,85.0,14 Days,73.5,147.0,147.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,121
FintokeiLess than20 reviewsFintokei,fintokei,,,20000,3,3 Steps,2.0% / 3.0% / 6.0%,3.0,6.0,1:0.55,50.0,14 days,119.0,119.0,119.0,original_no_discount,EUR,forex,Equity Based,45
Fintokei,fintokei,,,50000,3,3 Steps,2.0% / 3.0% / 6.0%,3.0,6.0,1:0.55,50.0,14 days,244.0,244.0,244.0,original_no_discount,EUR,forex,Equity Based,93
Fintokei,fintokei,,,100000,3,3 Steps,2.0% / 3.0% / 6.0%,3.0,6.0,1:0.55,50.0,14 days,419.0,419.0,419.0,original_no_discount,EUR,forex,Equity Based,159
Lark Funding,lark-funding,4.5,72,200000,3,3 Steps,5.0% / 4.0% / 3.0%,,5.0,1:0.42,80.0,14 Days,750.0,750.0,750.0,original_no_discount,USD,forex,-,1176
Lark Funding,lark-funding,4.5,72,25000,3,3 Steps,5.0% / 4.0% / 3.0%,,5.0,1:0.42,80.0,14 Days,175.0,175.0,175.0,original_no_discount,USD,forex,-,274
Lark Funding,lark-funding,4.5,72,50000,3,3 Steps,5.0% / 4.0% / 3.0%,,5.0,1:0.42,80.0,14 Days,280.0,280.0,280.0,original_no_discount,USD,forex,-,439
Lark Funding,lark-funding,4.5,72,100000,3,3 Steps,5.0% / 4.0% / 3.0%,,5.0,1:0.42,80.0,14 Days,370.0,370.0,370.0,original_no_discount,USD,forex,-,580
ThinkCapital,thinkcapital,4.2,54,25000,3,3 Steps,7.0% / 6.0% / 5.0%,4.0,8.0,1:0.44,80.0,Biweekly,139.0,139.0,139.0,original_no_discount,USD,forex,Balance Based,183
ThinkCapital,thinkcapital,4.2,54,10000,3,3 Steps,7.0% / 6.0% / 5.0%,4.0,8.0,1:0.62,80.0,Biweekly,79.0,79.0,79.0,original_no_discount,USD,forex,Balance Based,104
ThinkCapital,thinkcapital,4.2,54,50000,3,3 Steps,7.0% / 6.0% / 5.0%,4.0,8.0,1:0.44,80.0,Biweekly,199.0,199.0,199.0,original_no_discount,USD,forex,Balance Based,263
ThinkCapital,thinkcapital,4.2,54,100000,3,3 Steps,7.0% / 6.0% / 5.0%,4.0,8.0,1:0.44,80.0,Biweekly,349.0,349.0,349.0,original_no_discount,USD,forex,Balance Based,461
Nordic Funder,nordic-funder,,,50000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,241.5,241.5,241.5,original_no_discount,USD,forex,Balance Based,478
Nordic Funder,nordic-funder,,,100000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,367.5,367.5,367.5,original_no_discount,USD,forex,Balance Based,728
Nordic Funder,nordic-funder,,,200000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,700.0,700.0,700.0,original_no_discount,USD,forex,Balance Based,1386
Nordic Funder,nordic-funder,,,250000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,857.5,857.5,857.5,original_no_discount,USD,forex,Balance Based,1698
Nordic Funder,nordic-funder,,,500000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,1932.0,1932.0,1932.0,original_no_discount,USD,forex,Balance Based,3825
Nordic Funder,nordic-funder,,,10000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,77.0,77.0,77.0,original_no_discount,USD,forex,Balance Based,152
Nordic Funder,nordic-funder,,,25000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.3,80.0,Once every 30 days,175.0,175.0,175.0,original_no_discount,USD,forex,Balance Based,347
FXIFY,fxify,3.9,102,100000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",399.0,399.0,399.0,original_no_discount,USD,forex,Balance Based,614
FXIFY,fxify,3.9,102,15000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",79.0,79.0,79.0,original_no_discount,USD,forex,Balance Based,122
FXIFY,fxify,3.9,102,10000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",59.0,59.0,59.0,original_no_discount,USD,forex,Balance Based,91
FXIFY,fxify,3.9,102,50000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",249.0,249.0,249.0,original_no_discount,USD,forex,Balance Based,383
FXIFY,fxify,3.9,102,400000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",1599.0,1599.0,1599.0,original_no_discount,USD,forex,Balance Based,2462
FXIFY,fxify,3.9,102,200000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",799.0,799.0,799.0,original_no_discount,USD,forex,Balance Based,1230
FXIFY,fxify,3.9,102,25000,3,3 Steps,5.0% / 5.0% / 5.0%,5.0,5.0,1:0.33,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",149.0,149.0,149.0,original_no_discount,USD,forex,Balance Based,229
FundingPips,funding-pips,4.3,960,5000,1,Instant,,3.0,5.0,None,95.0,Bi-weekly,69.0,69.0,69.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,61
FundedNext,fundednext,4.4,710,2000,1,Instant,,,6.0,None,70.0,On demand (With condition) & Biweekly,59.99,59.99,59.99,original_no_discount,USD,forex,-,31
Goat Funded Trader,goat-funded-trader,4.4,719,5000,1,Instant,,,4.0,None,80.0,Bi-weekly | First Payout on demand as add-on with a 40% profit split,68.0,68.0,68.0,original_no_discount,USD,forex,-,56
Blueberry Funded,blueberry-funded,3.7,274,25000,1,Instant,,2.0,4.0,None,80.0,14 days,42.5,42.5,42.5,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,49
Maven,maven-trading,4.3,666,2000,1,Instant,,2.0,3.0,None,80.0,Immediate,13.0,13.0,13.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,16
NEW,moneta-funded,,,5000,1,Instant,,3.0,6.0,None,88.0,14 days,105.0,105.0,105.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,121
AquaFunded,aquafunded,4.3,223,5000,1,Instant,,3.0,6.0,None,90.0,14 Days,60.0,60.0,60.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,66
Top One Trader,top-one-trader,4.4,145,5000,1,Instant,,2.5,5.0,None,80.0,14 Days,94.0,94.0,94.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,35
For Traders,for-traders,4.5,222,3000,1,Instant,,3.0,5.0,None,70.0,14 Days,46.0,46.0,46.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,76
QT Funded,qt-funded,3.9,656,5000,1,Instant,,3.0,6.0,None,80.0,14 days,52.0,52.0,52.0,original_no_discount,USD,forex,Balance Based,43
Finotive Funding,finotive-funding,4.2,115,5000,1,Instant,,3.0,6.0,None,70.0,"Payout on demand, then every 14 Days",65.0,65.0,65.0,original_no_discount,USD,forex,Balance Based,27
Blue Guardian,blue-guardian,4.3,214,5000,1,Instant,,3.0,5.0,None,90.0,"On demand with a minimum withdrawal of $100 and a 15% Daily Consistency Rule, maximum withdrawal of 5% of the account size.",27.0,27.0,27.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,25
FundedElite,fundedelite,4.3,99,7000,1,Instant,,3.0,6.0,None,70.0,Standard: 21 days,159.0,159.0,159.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,184
Lark Funding,lark-funding,4.5,72,5000,1,Instant,,5.0,8.0,None,90.0,On-Demand then 30days,200.0,200.0,200.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,314
City Traders Imperium,city-traders-imperium,4.4,52,5000,1,Instant,10.0%,,6.0,1:0.6,70.0,From Level 2: First payout on demand | Bi-weekly thereafter on the 14th/15th & the last 2 days of each month,89.0,89.0,89.0,original_no_discount,USD,forex,-,69
Funded Trading Plus,funded-trading-plus,4.2,65,5000,1,Instant,,6.0,6.0,None,80.0,First payout on-demand | Subsequent payouts every 7 days | 3 days with add-on,249.0,249.0,249.0,original_no_discount,USD,forex,Balance Based,219
Instant Funding,instant-funding,3.8,329,2000,1,Instant,,2.0,4.0,None,90.0,After 24hrs,25.0,25.0,25.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,8
Crypto Fund Trader,crypto-fund-trader,4.2,100,5000,1,Instant,,4.0,6.0,None,50.0,On demand after reaching 10% profit or 15 trading days or 30 days without 10% profit,125.0,125.0,125.0,original_no_discount,USD,forex,Balance Based,192
FXIFY,fxify,3.9,102,5000,1,Instant,,3.0,4.0,None,80.0,10 Trading days,19.0,19.0,19.0,original_no_discount,USD,forex,Balance Based,42
Audacity Capital4.041Audacity Capital,audacity-capital,,,3000,1,Instant,10.0%,5.0,10.0,None,50.0,Payout on demand when you hit the 10% profit target,143.1,159.0,159.0,original_no_discount,USD,forex,Trailing Highest Balance/Equity,57
Darwinex ZeroLess than20 reviewsDarwinex Zero,darwinex-zero,,,100000,1,Instant,,,100.0,None,15.0,3 months,1995.0,1995.0,1995.0,original_no_discount,USD,forex,-,1367
Hantec Trader4.423Hantec Trader,hantec-trader,,,1000,1,Instant,,3.0,5.0,None,80.0,14 Days,17.1,19.0,19.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,28
FundingPips4.3960FundingPips,funding-pips,,,25000,1,Instant,,3.0,5.0,None,95.0,Bi-weekly,159.2,199.0,199.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,175
FundingPips,funding-pips,4.3,960,200000,1,Instant,,3.0,5.0,None,95.0,Bi-weekly,998.0,998.0,998.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,878
FundingPips,funding-pips,4.3,960,100000,1,Instant,,3.0,5.0,None,95.0,Bi-weekly,499.0,499.0,499.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,439
FundingPips,funding-pips,4.3,960,50000,1,Instant,,3.0,5.0,None,95.0,Bi-weekly,299.0,299.0,299.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,263
FundingPips,funding-pips,4.3,960,10000,1,Instant,,3.0,5.0,None,95.0,Bi-weekly,99.0,99.0,99.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,87
FundedNext,fundednext,4.4,710,20000,1,Instant,,,6.0,None,70.0,On demand (With condition) & Biweekly,599.99,599.99,599.99,original_no_discount,USD,forex,-,307
FundedNext,fundednext,4.4,710,10000,1,Instant,,,6.0,None,70.0,On demand (With condition) & Biweekly,299.99,299.99,299.99,original_no_discount,USD,forex,-,153
FundedNext,fundednext,4.4,710,5000,1,Instant,,,6.0,None,70.0,On demand (With condition) & Biweekly,149.99,149.99,149.99,original_no_discount,USD,forex,-,77
Goat Funded Trader,goat-funded-trader,4.4,719,100000,1,Instant,,,4.0,None,80.0,Bi-weekly | First Payout on demand as add-on with a 40% profit split,858.0,858.0,858.0,original_no_discount,USD,forex,-,708
Goat Funded Trader,goat-funded-trader,4.4,719,150000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,1198.0,1198.0,1198.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,988
Goat Funded Trader,goat-funded-trader,4.4,719,200000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,1708.0,1708.0,1708.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,1409
Goat Funded Trader,goat-funded-trader,4.4,719,25000,1,Instant,,,4.0,None,80.0,Bi-weekly | First Payout on demand as add-on with a 40% profit split,328.0,328.0,328.0,original_no_discount,USD,forex,-,271
Goat Funded Trader,goat-funded-trader,4.4,719,10000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,158.0,158.0,158.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,130
Goat Funded Trader,goat-funded-trader,4.4,719,15000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,228.0,228.0,228.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,188
Goat Funded Trader,goat-funded-trader,4.4,719,50000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,488.0,488.0,488.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,403
Goat Funded Trader,goat-funded-trader,4.4,719,250000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,2088.0,2088.0,2088.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,1723
Goat Funded Trader,goat-funded-trader,4.4,719,300000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,2398.0,2398.0,2398.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,1978
Goat Funded Trader,goat-funded-trader,4.4,719,400000,1,Instant,,3.0,6.0,None,80.0,Bi-weekly,2998.0,2998.0,2998.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,2473
Blueberry Funded,blueberry-funded,3.7,274,5000,1,Instant,,2.0,4.0,None,80.0,14 days,95.0,95.0,95.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,110
Blueberry Funded,blueberry-funded,3.7,274,10000,1,Instant,,2.0,4.0,None,80.0,14 days,145.0,145.0,145.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,167
Blueberry Funded,blueberry-funded,3.7,274,100000,1,Instant,,2.0,4.0,None,80.0,14 days,850.0,850.0,850.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,982
Blueberry Funded,blueberry-funded,3.7,274,50000,1,Instant,,2.0,4.0,None,80.0,14 days,420.0,420.0,420.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,485
Maven,maven-trading,4.3,666,20000,1,Instant,,2.0,3.0,None,80.0,10 Business days,68.0,68.0,68.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,86
Maven,maven-trading,4.3,666,10000,1,Instant,,2.0,3.0,None,80.0,Immediate,38.0,38.0,38.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,48
Maven,maven-trading,4.3,666,5000,1,Instant,,2.0,3.0,None,80.0,10 Business days,19.0,19.0,19.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,24
Maven,maven-trading,4.3,666,100000,1,Instant,,2.0,3.0,None,80.0,10 Business days,380.0,380.0,380.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,482
Maven,maven-trading,4.3,666,50000,1,Instant,,2.0,3.0,None,80.0,Immediate,190.0,190.0,190.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,241
NEW,moneta-funded,,,100000,1,Instant,,3.0,6.0,None,88.0,14 days,735.0,735.0,735.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,849
NEW,moneta-funded,,,50000,1,Instant,,3.0,6.0,None,88.0,14 days,465.0,465.0,465.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,537
NEW,moneta-funded,,,10000,1,Instant,,3.0,6.0,None,88.0,14 days,190.0,190.0,190.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,219
NEW,moneta-funded,,,25000,1,Instant,,3.0,6.0,None,88.0,14 days,290.0,290.0,290.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,335
AquaFunded,aquafunded,4.3,223,10000,1,Instant,,3.0,6.0,None,90.0,14 Days,155.0,155.0,155.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,171
AquaFunded,aquafunded,4.3,223,25000,1,Instant,,,3.0,None,90.0,14 Days,317.0,317.0,317.0,original_no_discount,USD,forex,-,349
AquaFunded,aquafunded,4.3,223,400000,1,Instant,,3.0,6.0,None,90.0,14 Days,2699.0,2699.0,2699.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,2969
AquaFunded,aquafunded,4.3,223,300000,1,Instant,,3.0,6.0,None,90.0,14 days,2099.0,2099.0,2099.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,2309
AquaFunded,aquafunded,4.3,223,200000,1,Instant,,,3.0,None,90.0,14 Days,1265.0,1265.0,1265.0,original_no_discount,USD,forex,-,1392
AquaFunded,aquafunded,4.3,223,100000,1,Instant,,,3.0,None,90.0,14 Days,767.0,767.0,767.0,original_no_discount,USD,forex,-,844
AquaFunded,aquafunded,4.3,223,150000,1,Instant,,3.0,6.0,None,90.0,14 Days,980.0,980.0,980.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,1078
Top One Trader,top-one-trader,4.4,145,25000,1,Instant,,2.5,5.0,None,80.0,14 Days,296.0,296.0,296.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,158
Top One Trader,top-one-trader,4.4,145,10000,1,Instant,,3.0,6.0,None,60.0,Every 30 Days with add-on option to upgrade to instant payout after hitting consistency.,226.0,226.0,226.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,120
Top One Trader,top-one-trader,4.4,145,50000,1,Instant,,2.5,5.0,None,80.0,14 Days,410.0,410.0,410.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,219
